연도,시도별,차종별,등록
2021,서울,승용,182068
2021,서울,승합,2682
2021,서울,화물,21017
2021,서울,특수,1281
2021,서울,합계,207048
2021,부산,승용,108866
2021,부산,승합,1203
2021,부산,화물,10582
2021,부산,특수,999
2021,부산,합계,121650
2021,대구,승용,63965
2021,대구,승합,793
2021,대구,화물,9532
2021,대구,특수,643
2021,대구,합계,74933
2021,인천,승용,168346
2021,인천,승합,1483
2021,인천,화물,14732
2021,인천,특수,839
2021,인천,합계,185400
2021,광주,승용,34242
2021,광주,승합,452
2021,광주,화물,6047
2021,광주,특수,372
2021,광주,합계,41113
2021,대전,승용,35655
2021,대전,승합,577
2021,대전,화물,5466
2021,대전,특수,415
2021,대전,합계,42113
2021,울산,승용,32695
2021,울산,승합,418
2021,울산,화물,4100
2021,울산,특수,337
2021,울산,합계,37550
2021,세종,승용,10393
2021,세종,승합,154
2021,세종,화물,1236
2021,세종,특수,182
2021,세종,합계,11965
2021,경기,승용,336247
2021,경기,승합,5593
2021,경기,화물,57222
2021,경기,특수,3672
2021,경기,합계,402734
2021,강원,승용,40169
2021,강원,승합,820
2021,강원,화물,10413
2021,강원,특수,545
2021,강원,합계,51947
2021,충북,승용,42103
2021,충북,승합,811
2021,충북,화물,11211
2021,충북,특수,765
2021,충북,합계,54890
2021,충남,승용,54949
2021,충남,승합,1198
2021,충남,화물,15322
2021,충남,특수,842
2021,충남,합계,72311
2021,전북,승용,39598
2021,전북,승합,821
2021,전북,화물,10984
2021,전북,특수,494
2021,전북,합계,51897
2021,전남,승용,88621
2021,전남,승합,1612
2021,전남,화물,13309
2021,전남,특수,692
2021,전남,합계,104234
2021,경북,승용,54933
2021,경북,승합,1206
2021,경북,화물,17432
2021,경북,특수,987
2021,경북,합계,74558
2021,경남,승용,101584
2021,경남,승합,1396
2021,경남,화물,16533
2021,경남,특수,996
2021,경남,합계,120509
2021,제주,승용,85696
2021,제주,승합,1138
2021,제주,화물,6919
2021,제주,특수,374
2021,제주,합계,94127
2021,총계,승용,1480130
2021,총계,승합,22357
2021,총계,화물,232057
2021,총계,특수,14435
2021,총계,합계,1748979
2022,서울,승용,166652
2022,서울,승합,3108
2022,서울,화물,18998
2022,서울,특수,1098
2022,서울,합계,189856
2022,부산,승용,109951
2022,부산,승합,1301
2022,부산,화물,10536
2022,부산,특수,976
2022,부산,합계,122764
2022,대구,승용,60281
2022,대구,승합,733
2022,대구,화물,9491
2022,대구,특수,549
2022,대구,합계,71054
2022,인천,승용,165205
2022,인천,승합,1847
2022,인천,화물,16002
2022,인천,특수,718
2022,인천,합계,183772
2022,광주,승용,32158
2022,광주,승합,554
2022,광주,화물,5930
2022,광주,특수,370
2022,광주,합계,39012
2022,대전,승용,34969
2022,대전,승합,486
2022,대전,화물,5697
2022,대전,특수,340
2022,대전,합계,41492
2022,울산,승용,30760
2022,울산,승합,464
2022,울산,화물,4434
2022,울산,특수,295
2022,울산,합계,35953
2022,세종,승용,9456
2022,세종,승합,122
2022,세종,화물,1104
2022,세종,특수,124
2022,세종,합계,10806
2022,경기,승용,323365
2022,경기,승합,5798
2022,경기,화물,57149
2022,경기,특수,3259
2022,경기,합계,389571
2022,강원,승용,37773
2022,강원,승합,794
2022,강원,화물,10947
2022,강원,특수,549
2022,강원,합계,50063
2022,충북,승용,39911
2022,충북,승합,713
2022,충북,화물,10615
2022,충북,특수,657
2022,충북,합계,51896
2022,충남,승용,51745
2022,충남,승합,1131
2022,충남,화물,13529
2022,충남,특수,777
2022,충남,합계,67182
2022,전북,승용,36667
2022,전북,승합,755
2022,전북,화물,10302
2022,전북,특수,582
2022,전북,합계,48306
2022,전남,승용,86880
2022,전남,승합,1456
2022,전남,화물,13574
2022,전남,특수,707
2022,전남,합계,102617
2022,경북,승용,52680
2022,경북,승합,1060
2022,경북,화물,17097
2022,경북,특수,982
2022,경북,합계,71819
2022,경남,승용,110213
2022,경남,승합,1135
2022,경남,화물,16214
2022,경남,특수,971
2022,경남,합계,128533
2022,제주,승용,82336
2022,제주,승합,1014
2022,제주,화물,8781
2022,제주,특수,308
2022,제주,합계,92439
2022,총계,승용,1431002
2022,총계,승합,22471
2022,총계,화물,230400
2022,총계,특수,13262
2022,총계,합계,1697135
2023,서울,승용,172000
2023,서울,승합,3061
2023,서울,화물,18987
2023,서울,특수,870
2023,서울,합계,194918
