연도,시도별,차종별,등록
2023,부산,승용,109038
2023,부산,승합,1387
2023,부산,화물,11028
2023,부산,특수,701
2023,부산,합계,122154
2023,대구,승용,58219
2023,대구,승합,842
2023,대구,화물,9424
2023,대구,특수,316
2023,대구,합계,68801
2023,인천,승용,145094
2023,인천,승합,2086
2023,인천,화물,17105
2023,인천,특수,556
2023,인천,합계,164841
2023,광주,승용,33839
2023,광주,승합,535
2023,광주,화물,5305
2023,광주,특수,208
2023,광주,합계,39887
2023,대전,승용,40545
2023,대전,승합,517
2023,대전,화물,5248
2023,대전,특수,255
2023,대전,합계,46565
2023,울산,승용,39145
2023,울산,승합,524
2023,울산,화물,4570
2023,울산,특수,219
2023,울산,합계,44458
2023,세종,승용,10022
2023,세종,승합,134
2023,세종,화물,997
2023,세종,특수,57
2023,세종,합계,11210
2023,경기,승용,346784
2023,경기,승합,7778
2023,경기,화물,56999
2023,경기,특수,2307
2023,경기,합계,413868
2023,충북,승용,44128
2023,충북,승합,997
2023,충북,화물,9805
2023,충북,특수,417
2023,충북,합계,55347
2023,충남,승용,59641
2023,충남,승합,1423
2023,충남,화물,14200
2023,충남,특수,464
2023,충남,합계,75728
2023,전북,승용,43360
2023,전북,승합,1069
2023,전북,화물,10390
2023,전북,특수,353
2023,전북,합계,55172
2023,전남,승용,87482
2023,전남,승합,1681
2023,전남,화물,13218
2023,전남,특수,531
2023,전남,합계,102912
2023,경북,승용,58866
2023,경북,승합,1458
2023,경북,화물,16321
2023,경북,특수,725
2023,경북,합계,77370
2023,경남,승용,126604
2023,경남,승합,1656
2023,경남,화물,15142
2023,경남,특수,709
2023,경남,합계,144111
2023,제주,승용,84956
2023,제주,승합,1101
2023,제주,화물,7021
2023,제주,특수,242
2023,제주,합계,93320
2023,강원,승용,41702
2023,강원,승합,1035
2023,강원,화물,10486
2023,강원,특수,390
2023,강원,합계,53613
2023,총계,승용,1501425
2023,총계,승합,27284
2023,총계,화물,226246
2023,총계,특수,9320
2023,총계,합계,1764275
2024,서울,승용,159089
2024,서울,승합,3078
2024,서울,화물,15726
2024,서울,특수,652
2024,서울,합계,178545
2024,부산,승용,117394
2024,부산,승합,1390
2024,부산,화물,8272
2024,부산,특수,623
2024,부산,합계,127679
2024,대구,승용,53637
2024,대구,승합,733
2024,대구,화물,6639
2024,대구,특수,225
2024,대구,합계,61234
2024,인천,승용,138730
2024,인천,승합,2206
2024,인천,화물,13088
2024,인천,특수,426
2024,인천,합계,154450
2024,광주,승용,31425
2024,광주,승합,465
2024,광주,화물,4399
2024,광주,특수,179
2024,광주,합계,36468
2024,대전,승용,39947
2024,대전,승합,562
2024,대전,화물,4366
2024,대전,특수,205
2024,대전,합계,45080
2024,울산,승용,33458
2024,울산,승합,588
2024,울산,화물,3362
2024,울산,특수,159
2024,울산,합계,37567
2024,세종,승용,9395
2024,세종,승합,272
2024,세종,화물,811
2024,세종,특수,57
2024,세종,합계,10535
2024,경기,승용,328336
2024,경기,승합,6768
2024,경기,화물,47075
2024,경기,특수,1545
2024,경기,합계,383724
2024,충북,승용,42859
2024,충북,승합,1048
2024,충북,화물,7314
2024,충북,특수,296
2024,충북,합계,51517
2024,충남,승용,57392
2024,충남,승합,1468
2024,충남,화물,10824
2024,충남,특수,404
2024,충남,합계,70088
2024,전남,승용,89182
2024,전남,승합,1907
2024,전남,화물,8784
2024,전남,특수,353
2024,전남,합계,100226
2024,경북,승용,54979
2024,경북,승합,1338
2024,경북,화물,11005
2024,경북,특수,464
2024,경북,합계,67786
2024,경남,승용,119914
2024,경남,승합,1597
2024,경남,화물,11980
2024,경남,특수,505
2024,경남,합계,133996
2024,제주,승용,87850
2024,제주,승합,1502
2024,제주,화물,6601
2024,제주,특수,289
2024,제주,합계,96242
2024,강원,승용,38780
2024,강원,승합,876
2024,강원,화물,6307
2024,강원,특수,253
2024,강원,합계,46216
2024,전북,승용,40748
2024,전북,승합,995
2024,전북,화물,7306
2024,전북,특수,246
2024,전북,합계,49295
2024,총계,승용,1443115
2024,총계,승합,26793
2024,총계,화물,173859
2024,총계,특수,6881
2024,총계,합계,1650648
2025,서울,승용,127716
2025,서울,승합,1948
2025,서울,화물,12801
2025,서울,특수,359
2025,서울,합계,142824
2025,부산,승용,97953
2025,부산,승합,1144
2025,부산,화물,6515
2025,부산,특수,483
2025,부산,합계,106095
2025,대구,승용,48676
2025,대구,승합,636
2025,대구,화물,4938
2025,대구,특수,124
2025,대구,합계,54374
2025,인천,승용,126231
2025,인천,승합,1672
2025,인천,화물,11298
2025,인천,특수,327
2025,인천,합계,139528
2025,광주,승용,26504
2025,광주,승합,413
2025,광주,화물,3362
2025,광주,특수,97
2025,광주,합계,30376
2025,대전,승용,34437
2025,대전,승합,416
2025,대전,화물,3316
2025,대전,특수,119
2025,대전,합계,38288
2025,울산,승용,29610
2025,울산,승합,563
2025,울산,화물,2565
2025,울산,특수,124
2025,울산,합계,32862
2025,세종,승용,9318
2025,세종,승합,122
2025,세종,화물,597
2025,세종,특수,48
2025,세종,합계,10085
2025,경기,승용,276929
2025,경기,승합,5499
2025,경기,화물,38272
2025,경기,특수,1149
2025,경기,합계,321849
2025,충북,승용,36338
2025,충북,승합,757
2025,충북,화물,5812
2025,충북,특수,214
2025,충북,합계,43121
2025,충남,승용,48901
2025,충남,승합,1136
2025,충남,화물,8584
2025,충남,특수,248
2025,충남,합계,58869
2025,전남,승용,80980
2025,전남,승합,1312
2025,전남,화물,6433
2025,전남,특수,272
2025,전남,합계,88997
2025,경북,승용,47503
2025,경북,승합,1248
2025,경북,화물,8531
2025,경북,특수,321
2025,경북,합계,57603
2025,경남,승용,111038
2025,경남,승합,1211
2025,경남,화물,9474
2025,경남,특수,378
2025,경남,합계,122101
2025,제주,승용,75342
2025,제주,승합,1310
2025,제주,화물,5355
2025,제주,특수,68
2025,제주,합계,82075
2025,강원,승용,32795
2025,강원,승합,803
2025,강원,화물,5275
2025,강원,특수,173
2025,강원,합계,39046
2025,전북,승용,34277
2025,전북,승합,888
2025,전북,화물,5665
2025,전북,특수,174
2025,전북,합계,41004
2025,총계,승용,1244548
2025,총계,승합,21078
2025,총계,화물,138793
2025,총계,특수,4678
2025,총계,합계,1409097
