연도,시도별,차종별,폐차,전체 말소
2021,서울,승용,57470,97104
2021,서울,승합,3117,5353
2021,서울,화물,6388,12598
2021,서울,특수,102,250
2021,서울,계,67077,115305
2021,부산,승용,28054,45733
2021,부산,승합,1552,2767
2021,부산,화물,5215,8267
2021,부산,특수,522,636
2021,부산,계,35343,57403
2021,대구,승용,32137,48268
2021,대구,승합,1725,2436
2021,대구,화물,7253,9825
2021,대구,특수,101,130
2021,대구,계,41216,60659
2021,인천,승용,25974,57798
2021,인천,승합,1421,2946
2021,인천,화물,4411,8202
2021,인천,특수,382,533
2021,인천,계,32188,69479
2021,광주,승용,18740,27104
2021,광주,승합,1077,1454
2021,광주,화물,4080,5710
2021,광주,특수,50,114
2021,광주,계,23947,34382
2021,대전,승용,18950,28390
2021,대전,승합,966,1549
2021,대전,화물,3851,5369
2021,대전,특수,34,86
2021,대전,계,23801,35394
2021,울산,승용,13440,19080
2021,울산,승합,567,867
2021,울산,화물,2890,3751
2021,울산,특수,83,120
2021,울산,계,16980,23818
2021,세종,승용,4591,6316
2021,세종,승합,196,249
2021,세종,화물,948,1184
2021,세종,특수,13,15
2021,세종,계,5748,7764
2021,경기,승용,135667,261223
2021,경기,승합,7509,13408
2021,경기,화물,23330,40073
2021,경기,특수,391,786
2021,경기,계,166897,315490
2021,강원,승용,24685,33375
2021,강원,승합,1673,2204
2021,강원,화물,8980,10770
2021,강원,특수,100,157
2021,강원,계,35438,46506
2021,충북,승용,24705,34727
2021,충북,승합,1410,2036
2021,충북,화물,9553,12005
2021,충북,특수,153,248
2021,충북,계,35821,49016
2021,충남,승용,34497,48269
2021,충남,승합,2121,2968
2021,충남,화물,13501,16798
2021,충남,특수,183,244
2021,충남,계,50302,68279
2021,전북,승용,27157,37455
2021,전북,승합,1584,2166
2021,전북,화물,9501,11591
2021,전북,특수,134,213
2021,전북,계,38376,51425
2021,전남,승용,29696,40784
2021,전남,승합,2088,2858
2021,전남,화물,14071,16659
2021,전남,특수,271,390
2021,전남,계,46126,60691
2021,경북,승용,45951,59700
2021,경북,승합,2716,3549
2021,경북,화물,19658,23530
2021,경북,특수,279,402
2021,경북,계,68604,87181
2021,경남,승용,45889,67513
2021,경남,승합,2687,4004
2021,경남,화물,14701,19299
2021,경남,특수,305,465
2021,경남,계,63582,91281
2021,제주,승용,9831,13967
2021,제주,승합,616,960
2021,제주,화물,4441,5195
2021,제주,특수,45,62
